,year,sea_level,datum_correction
0,1825,,0.0
1,1826,-0.32399999999999984,0.0
2,1827,-0.2959999999999998,0.0
3,1828,,0.0
4,1829,,0.0
5,1830,-0.2290000000000001,0.0
6,1831,-0.262,0.0
7,1832,-0.2709999999999999,0.0
8,1833,,0.0
9,1834,,0.0
10,1835,,0.0
11,1836,,0.0
12,1837,,0.0
13,1838,,0.0
14,1839,,0.0
15,1840,,0.0
16,1841,,0.0
17,1842,,0.0
18,1843,,0.0
19,1844,,0.0
20,1845,,0.0
21,1846,,0.0
22,1847,-0.2869999999999999,0.0
23,1848,-0.2669999999999999,0.0
24,1849,-0.266,0.0
25,1850,-0.2709999999999999,0.0
26,1851,-0.2719999999999998,0.0
27,1852,-0.2530000000000001,0.0
28,1853,-0.2519999999999998,0.0
29,1854,-0.2879999999999998,0.0
30,1855,-0.2570000000000001,0.0
31,1856,-0.2370000000000001,0.0
32,1857,-0.2530000000000001,0.0
33,1858,-0.28600000000000003,0.0
34,1859,-0.29300000000000015,0.0
35,1860,-0.30699999999999994,0.0
36,1861,-0.2759999999999998,0.0
37,1862,-0.26900000000000013,0.0
38,1863,-0.27,0.0
39,1864,-0.2789999999999999,0.0
40,1865,-0.266,0.0
41,1866,-0.28500000000000014,0.0
42,1867,-0.31700000000000017,0.0
43,1868,-0.3410000000000002,0.0
44,1869,-0.32200000000000006,0.0
45,1870,-0.2450000000000001,0.0
46,1871,-0.31099999999999994,0.0
47,1872,-0.31700000000000017,0.0
48,1873,-0.2829999999999999,0.0
49,1874,-0.32399999999999984,0.0
50,1875,-0.31199999999999983,0.0
51,1876,-0.27,0.0
52,1877,,0.0
53,1878,,0.0
54,1879,,0.0
55,1880,,0.0
56,1881,,0.0
57,1882,,0.0
58,1883,,0.0
59,1884,,0.0
60,1885,,0.0
61,1886,,0.0
62,1887,,0.0
63,1888,,0.0
64,1889,,0.0
65,1890,,0.0
66,1891,,0.0
67,1892,,0.0
68,1893,,0.0
69,1894,,0.0
70,1895,,0.0
71,1896,,0.0
72,1897,-0.30200000000000005,0.0
73,1898,-0.23399999999999999,0.0
74,1899,-0.266,0.0
75,1900,-0.2839999999999998,0.0
76,1901,-0.19099999999999984,0.0
77,1902,-0.16999999999999993,0.0
78,1903,-0.19200000000000017,0.0
79,1904,-0.2559999999999998,0.0
80,1905,-0.2610000000000001,0.0
81,1906,-0.2669999999999999,0.0
82,1907,,0.0
83,1908,-0.2749999999999999,0.0
84,1909,-0.2469999999999999,0.0
85,1910,-0.17300000000000004,0.0
86,1911,-0.2370000000000001,0.0
87,1912,,0.0
88,1913,,0.0
89,1914,,0.0
90,1915,,0.0
91,1916,,0.0
92,1917,,0.0
93,1918,,0.0
94,1919,,0.0
95,1920,,0.0
96,1921,-0.23099999999999987,0.026
97,1922,-0.258,0.025
98,1923,-0.2639999999999998,0.024
99,1924,-0.2570000000000001,0.024
100,1925,-0.28100000000000014,0.023
101,1926,-0.2709999999999999,0.022
102,1927,-0.242,0.018
103,1928,-0.27300000000000013,0.018
104,1929,-0.266,0.017
105,1930,-0.2719999999999998,0.016
106,1931,-0.22199999999999998,0.015
107,1932,-0.2330000000000001,0.011
108,1933,-0.20900000000000007,0.011
109,1934,-0.266,0.01
110,1935,-0.22699999999999987,0.009
111,1936,-0.2450000000000001,0.008
112,1937,-0.21700000000000008,0.009
113,1938,-0.21300000000000008,0.002
114,1939,-0.20900000000000007,0.002
115,1940,-0.19600000000000017,0.011
116,1941,-0.18800000000000017,0.011
117,1942,-0.17700000000000005,0.009
118,1943,-0.19600000000000017,0.009
119,1944,-0.18599999999999994,0.006
120,1945,-0.13600000000000012,0.005
121,1946,-0.16999999999999993,0.003
122,1947,-0.15600000000000014,0.007
123,1948,-0.1469999999999998,0.007
124,1949,-0.19600000000000017,0.007
125,1950,-0.19799999999999995,0.007
126,1951,-0.1419999999999999,0.007
127,1952,-0.15700000000000003,0.008
128,1953,-0.1589999999999998,0.008
129,1954,-0.16000000000000014,0.008
130,1955,-0.15700000000000003,0.008
131,1956,-0.15399999999999991,0.008
132,1957,-0.19300000000000006,0.006
133,1958,-0.12199999999999989,0.006
134,1959,-0.19399999999999995,0.006
135,1960,-0.11500000000000021,0.006
136,1961,-0.1200000000000001,0.006
137,1962,-0.14400000000000013,0.004
138,1963,-0.16599999999999993,0.004
139,1964,-0.16100000000000003,0.004
140,1965,-0.16000000000000014,0.004
141,1966,-0.14900000000000002,0.004
142,1967,-0.137,0.002
143,1968,-0.14400000000000013,0.002
144,1969,-0.0990000000000002,0.002
145,1970,-0.11900000000000022,0.002
146,1971,-0.10499999999999998,0.002
147,1972,-0.08400000000000007,0.002
148,1973,-0.08599999999999985,0.002
149,1974,-0.12199999999999989,0.002
150,1975,-0.11399999999999988,0.0
151,1976,-0.14900000000000002,0.0
152,1977,-0.12300000000000022,0.0
153,1978,-0.11299999999999999,0.0
154,1979,-0.1469999999999998,0.0
155,1980,-0.1469999999999998,0.0
156,1981,-0.1299999999999999,0.0
157,1982,-0.1459999999999999,0.0
